Time for Cap.1 (min);Ratio 350 nm / 330 nm for Cap.1 ;Time for Cap.1 (min);Turbidity for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Ratio 350 nm / 330 nm for Cap.2 ;Time for Cap.2 (min);Turbidity for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Ratio 350 nm / 330 nm for Cap.3 ;Time for Cap.3 (min);Turbidity for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Ratio 350 nm / 330 nm for Cap.4 ;Time for Cap.4 (min);Turbidity for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Ratio 350 nm / 330 nm for Cap.5 ;Time for Cap.5 (min);Turbidity for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Ratio 350 nm / 330 nm for Cap.6 ;Time for Cap.6 (min);Turbidity for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Ratio 350 nm / 330 nm for Cap.7 ;Time for Cap.7 (min);Turbidity for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
100.652;0.2559261;100.652;83.67692;201.052;4.169634;100.652;0.2556617;100.652;83.66999;201.152;3.783967;100.652;0.2723794;100.652;81.95546;200.9687;6.266166;100.652;1.551231;100.652;101.1404;211.2354;2046.828;100.652;1.078874;100.652;89.52977;200.8687;37.29295;100.652;0.9918379;100.652;88.6384;201.3354;50.07467;100.652;1.387634;100.652;89.00299;200.7854;71.03348
101.3187;0.2562844;101.3187;83.76823;211.052;4.188679;101.3187;0.2547477;101.3187;83.7818;211.152;4.250244;101.3187;0.2701114;101.3187;81.91541;210.9687;4.514565;101.3354;1.548899;101.3354;101.2538;221.2354;2184.782;101.3354;1.079411;101.3354;89.52731;210.8687;37.40734;101.3354;0.9974791;101.3354;88.66569;211.3354;49.64496;101.352;1.390905;101.352;89.19591;210.7854;68.79115
110.6687;0.256182;110.6687;83.67471;221.052;4.065002;110.652;0.2539395;110.652;83.64184;221.152;5.854809;110.652;0.2692907;110.652;81.92407;220.9687;3.134697;110.652;1.552207;110.652;101.1865;231.2354;1472.82;110.652;1.080879;110.652;89.46679;220.8687;37.42666;110.652;0.9951053;110.652;88.67939;221.3354;48.67755;110.652;1.383322;110.652;89.04791;220.7854;75.79673
111.3187;0.2557738;111.3187;83.8195;231.052;357.112;111.3187;0.2548421;111.3187;83.83533;231.152;3.78123;111.3354;0.2701638;111.3354;82.04173;230.9687;3.971309;111.3354;1.55201;111.3354;101.3418;241.252;1816.84;111.3354;1.077679;111.3354;89.66527;230.8687;37.96255;111.352;0.9954349;111.352;88.70833;231.3354;49.81195;111.352;1.383607;111.352;89.16483;230.7854;78.7318
120.6687;0.2565352;120.6687;83.71497;241.052;6.196186;120.6687;0.2538554;120.6687;83.69211;241.152;3.753562;120.6687;0.2714626;120.6687;82.00586;240.9687;4.532384;120.652;1.552236;120.652;101.2159;251.252;2856.78;120.652;1.079679;120.652;89.54723;240.8687;37.61325;120.652;0.9937243;120.652;88.74203;241.3354;50.04101;120.652;1.38533;120.652;88.98432;240.7854;68.87641
121.3187;0.2560577;121.3187;83.83314;251.0687;4.369385;121.3187;0.2537757;121.3187;83.85264;251.152;4.203661;121.3354;0.2703887;121.3354;82.1993;250.9687;3.863478;121.3354;1.549597;121.3354;101.345;261.2354;4238.287;121.3354;1.077834;121.3354;89.66256;250.8854;37.92487;121.352;0.9968565;121.352;88.83311;251.3354;49.42719;121.352;1.385001;121.352;89.13013;250.7854;70.44781
130.6687;0.2560182;130.6687;83.72598;261.052;4.460653;130.6687;0.2532846;130.6687;83.7407;261.1354;3.717852;130.6687;0.2714357;130.6687;82.058;260.952;2.900842;130.6687;1.551372;130.6687;101.1516;271.2354;1695.923;130.652;1.081217;130.652;89.64989;260.8687;37.51855;130.652;0.9943907;130.652;88.83658;261.3187;51.44561;130.652;1.383829;130.652;88.95733;260.7687;72.17223
131.3187;0.2562683;131.3187;83.77869;271.052;3.763896;131.3187;0.2546709;131.3187;83.79987;271.1354;3.648493;131.3354;0.2695478;131.3354;82.13952;270.952;4.225579;131.3354;1.552006;131.3354;101.312;281.2354;2173.986;131.3354;1.079024;131.3354;89.6953;270.8687;38.02146;131.352;0.9954064;131.352;88.94371;271.3187;50.63438;131.352;1.382204;131.352;89.14458;270.7687;73.6997
140.6687;0.2555935;140.6687;83.67036;281.052;3.962606;140.6687;0.2545584;140.6687;83.75152;281.152;3.505041;140.6687;0.2672848;140.6687;81.95715;280.952;2.952867;140.6687;1.549661;140.6687;101.123;291.2354;2263.131;140.6687;1.078742;140.6687;89.69273;280.8687;37.185;140.6687;0.995386;140.6687;88.94128;281.3354;52.04422;140.652;1.383804;140.652;88.92604;280.7687;72.31949
141.3187;0.2552969;141.3187;83.78624;291.052;3.717971;141.3354;0.2546632;141.3354;83.80341;291.152;3.852718;141.3354;0.272033;141.3354;81.95737;290.952;3.316587;141.3354;1.549994;141.3354;101.3105;301.2354;1747.607;141.352;1.078619;141.352;89.73064;290.8687;38.1768;141.352;0.99659;141.352;89.02297;291.3354;50.68805;141.352;1.384237;141.352;89.15501;290.7687;75.80662
150.6687;0.255951;150.6687;83.73274;301.052;3.710138;150.6687;0.2539185;150.6687;83.73132;301.152;3.633447;150.6687;0.2714188;150.6687;81.84233;300.952;2.455904;150.6687;1.549889;150.6687;101.2095;311.2354;2286.005;150.6687;1.080617;150.6687;89.59522;300.8687;38.10962;150.6687;0.9938897;150.6687;88.95911;301.3354;51.43223;150.6687;1.385012;150.6687;88.9833;300.7853;70.43681
151.3187;0.2560946;151.3187;83.82808;311.052;3.97137;151.3354;0.2532717;151.3354;83.83045;311.152;3.618721;151.3354;0.269385;151.3354;81.80968;310.9687;3.368787;151.3354;1.548759;151.3354;101.3077;321.2354;2006.468;151.352;1.079744;151.352;89.76402;310.8687;37.0628;151.352;0.9966714;151.352;89.13149;311.3354;51.72532;151.352;1.387496;151.352;89.18114;310.7853;75.34554
160.652;0.2554779;160.652;83.76142;321.052;3.919462;160.652;0.2547674;160.652;83.67675;321.152;4.295176;160.652;0.2718997;160.652;81.75807;320.9687;65.33049;160.652;1.549088;160.652;101.2587;331.252;1579.274;160.652;1.079742;160.652;89.64165;320.8687;37.47322;160.652;0.9976002;160.652;89.05745;321.3354;51.61287;160.652;1.385559;160.652;88.98136;320.7853;73.70406
161.302;0.2559714;161.302;83.83103;331.052;4.219922;161.3187;0.2533807;161.3187;83.87103;331.152;5.679813;161.3187;0.2700087;161.3187;81.81454;330.9687;4.212596;161.3187;1.54954;161.3187;101.3334;341.252;1748.123;161.3354;1.080369;161.3354;89.84787;330.8687;37.62273;161.3354;0.9958345;161.3354;89.12291;331.3354;51.39614;161.3354;1.383657;161.3354;89.11366;330.7853;69.32514
170.652;0.2567846;170.652;83.73634;341.052;3.764027;170.652;0.254559;170.652;83.70602;341.152;3.774362;170.652;0.2692093;170.652;81.75711;340.9687;1.426012;170.652;1.549859;170.652;101.259;351.252;1676.232;170.652;1.080286;170.652;89.70908;340.8687;37.27193;170.652;0.9970059;170.652;89.14576;341.3354;51.7053;170.652;1.386886;170.652;88.91407;340.7853;78.03359
171.302;0.2554789;171.302;83.86102;351.052;3.952184;171.3187;0.25545;171.3187;83.8092;351.152;3.767862;171.3187;0.2686064;171.3187;81.83833;350.9687;1.6001;171.3187;1.554155;171.3187;101.3474;361.252;1512.099;171.3354;1.07816;171.3354;89.80681;350.8687;37.92022;171.3354;0.9976117;171.3354;89.16367;351.3354;51.54723;171.3354;1.383341;171.3354;89.12256;350.7853;71.30551
180.652;0.2560478;180.652;83.6954;361.052;3.585363;180.652;0.2546005;180.652;83.80577;361.152;3.496077;180.652;0.2714787;180.652;81.77723;360.9687;2.701762;180.652;1.551216;180.652;101.1967;371.2354;1650.232;180.652;1.077973;180.652;89.64231;360.8687;37.50626;180.652;0.9960022;180.652;89.16022;361.3354;51.83248;180.652;1.387305;180.652;88.91662;360.7853;71.5848
181.3187;0.2558537;181.3187;83.82035;371.052;3.796304;181.3187;0.2548976;181.3187;83.86009;371.1353;3.554478;181.3187;0.2708541;181.3187;81.86808;370.952;3.60588;181.3354;1.550101;181.3354;101.3461;381.2354;1822.013;181.3354;1.080259;181.3354;89.75479;370.8687;37.65898;181.3354;0.9952771;181.3354;89.25761;371.3187;53.16076;181.352;1.382494;181.352;89.13387;370.7687;76.1957
190.652;0.2564822;190.652;83.74387;381.052;4.06951;190.652;0.2545781;190.652;83.74312;381.1353;3.693922;190.652;0.2712908;190.652;81.75048;380.952;3.797744;190.652;1.55144;190.652;101.1474;391.2354;1567.988;190.652;1.080109;190.652;89.68793;380.8687;37.68373;190.652;0.9977504;190.652;89.24761;381.3187;51.88913;190.652;1.38438;190.652;88.89043;380.7687;86.11965
191.3187;0.2561643;191.3187;83.84602;391.052;4.793634;191.3187;0.2548108;191.3187;83.85064;391.1353;3.581312;191.3187;0.2678172;191.3187;81.8923;390.952;2.712565;191.3354;1.551732;191.3354;101.3492;401.2354;1698.927;191.3354;1.079558;191.3354;89.78777;390.8687;37.73291;191.3354;0.9992228;191.3354;89.32767;391.3187;53.5158;191.352;1.382057;191.352;89.0857;390.7687;75.32529
200.652;0.2564405;200.652;83.741;401.052;4.487021;200.652;0.2554573;200.652;83.6711;401.152;3.69498;200.652;0.2776566;200.652;81.71432;400.952;3.506081;200.652;1.552434;200.652;101.2684;411.2354;1309.12;200.652;1.08093;200.652;89.80219;400.8687;37.91497;200.652;0.9963297;200.652;89.27486;401.3354;52.60295;200.652;1.385904;200.652;88.92036;400.7687;71.60012
201.3187;0.2562928;201.3187;83.82477;411.052;4.067707;201.3187;0.2536388;201.3187;83.84378;411.152;3.467206;201.3187;0.2680708;201.3187;81.86337;410.952;4.484017;201.3354;1.548565;201.3354;101.3523;421.2354;1486.481;201.3354;1.078207;201.3354;89.91541;410.8687;37.578;201.3354;0.9961679;201.3354;89.38594;411.3354;53.33791;201.352;1.38327;201.352;89.11897;410.7687;69.32328
210.6687;0.256851;210.6687;83.7785;421.052;4.003211;210.652;0.2535777;210.652;83.74318;421.152;3.977628;210.652;0.2687772;210.652;81.72257;420.952;3.590831;210.652;1.550485;210.652;101.308;431.2354;2505.151;210.652;1.079877;210.652;89.88348;420.8687;37.62724;210.652;0.9958469;210.652;89.29485;421.3354;53.39391;210.652;1.387003;210.652;88.92443;420.7853;78.28101
211.3187;0.2557756;211.3187;83.81168;431.052;5.152112;211.3187;0.2538307;211.3187;83.87241;431.152;4.062241;211.3354;0.2699676;211.3354;81.85355;430.9687;3.195106;211.3354;1.552266;211.3354;101.4367;441.2354;1978.544;211.3354;1.079962;211.3354;90.02724;430.8687;37.36825;211.352;0.9982819;211.352;89.37562;431.3354;53.71296;211.352;1.384729;211.352;89.08219;430.7853;73.57762
220.6687;0.2567818;220.6687;83.73257;441.052;3.844104;220.6687;0.2550397;220.6687;83.73271;441.152;4.822981;220.6687;0.2697438;220.6687;81.76811;440.9687;4.457102;220.652;1.550875;220.652;101.3312;451.2354;1511.135;220.652;1.080689;220.652;89.7784;440.8687;37.56475;220.652;0.9956773;220.652;89.37598;441.3354;53.83168;220.652;1.382312;220.652;88.90438;440.7853;76.08397
221.3187;0.2559636;221.3187;83.84561;451.052;4.278703;221.3187;0.2543372;221.3187;83.86437;451.152;4.053049;221.3354;0.2699639;221.3354;81.77858;450.9687;3.966342;221.3354;1.552659;221.3354;101.3953;461.252;1657.447;221.3354;1.081301;221.3354;89.83314;450.8687;37.72426;221.352;0.997116;221.352;89.42467;451.3354;54.45764;221.352;1.386638;221.352;89.10736;450.7853;71.87803
230.6687;0.2553338;230.6687;83.75468;461.052;3.884371;230.6687;0.2537813;230.6687;83.80376;461.152;114.6894;230.6687;0.2693898;230.6687;81.77687;460.9687;2.673689;230.6687;1.552608;230.6687;101.3556;471.252;1591.569;230.652;1.080625;230.652;89.61374;460.8687;37.43151;230.652;0.9983527;230.652;89.46297;461.3354;54.34682;230.652;1.385652;230.652;88.98111;460.7853;77.54009
231.3187;0.2569279;231.3187;83.81049;471.052;4.009057;231.3187;0.2554384;231.3187;83.77791;471.152;3.790727;231.3354;0.2712065;231.3354;81.78375;470.9687;1.520323;231.3354;1.551784;231.3354;101.3294;481.252;1647.909;231.3354;1.081512;231.3354;89.47359;470.8687;38.26772;231.352;0.9993102;231.352;89.45999;471.3354;52.66857;231.352;1.385575;231.352;89.07591;470.7853;73.38096
240.6687;0.2550446;240.6687;83.66351;481.0687;4.299816;240.6687;0.2547669;240.6687;83.75731;481.152;3.988514;240.6687;0.2717007;240.6687;81.76429;480.9687;2.985474;240.6687;1.552698;240.6687;101.2387;491.2354;1870.089;240.6687;1.081705;240.6687;89.55917;480.8853;37.55125;240.652;0.9972553;240.652;89.4765;481.3354;53.15229;240.652;1.38387;240.652;88.94674;480.7853;73.36665
241.3187;0.2564163;241.3187;83.87111;491.052;6.362899;241.3187;0.2544342;241.3187;83.88243;491.1353;3.568739;241.3354;0.2705103;241.3354;81.89112;490.952;3.96934;241.3354;1.551786;241.3354;101.3993;501.2354;1574.304;241.3354;1.07857;241.3354;89.65894;490.8687;37.79219;241.352;0.995924;241.352;89.57307;491.3187;53.32295;241.352;1.383683;241.352;89.09795;490.7687;78.31208
250.6687;0.2561845;250.6687;83.7962;501.052;4.121796;250.6687;0.2542672;250.6687;83.84178;501.1353;3.725981;250.6687;0.2707606;250.6687;81.77682;500.952;4.694958;250.6687;1.553073;250.6687;101.2784;511.2354;1287.851;250.6687;1.079933;250.6687;89.69753;500.8687;37.82553;250.6687;0.9985238;250.6687;89.48645;501.3187;52.63435;250.652;1.389056;250.652;88.95707;500.7687;85.27461
251.3187;0.2565434;251.3187;83.8352;511.052;3.725072;251.3354;0.2553934;251.3354;83.90043;511.152;3.528511;251.3354;0.2707608;251.3354;81.84623;510.952;2.081373;251.3354;1.554035;251.3354;101.4677;521.2354;1920.198;251.352;1.07838;251.352;89.82285;510.8687;37.14214;251.352;0.9970667;251.352;89.61809;511.3354;55.4779;251.352;1.38808;251.352;89.10869;510.7687;78.53254
260.652;0.2555806;260.652;83.83339;521.052;3.916586;260.652;0.254117;260.652;83.79541;521.152;4.468966;260.652;0.2708656;260.652;81.73253;520.9687;12.26438;260.652;1.553536;260.652;101.3742;531.2354;1161.56;260.652;1.079631;260.652;89.70566;520.8687;37.07768;260.652;0.99764;260.652;89.53705;521.3353;53.95145;260.652;1.384845;260.652;88.87621;520.7687;77.42014
