Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
311.052;1179548;311.052;3.97137;311.152;679445.2;311.152;3.618721;310.9687;484381.8;310.9687;3.368787;311.2354;1251348;321.2354;2006.468;310.8687;7.298362E+08;310.8687;37.0628;311.3354;4.669539E+08;311.3354;51.72532;310.7853;6.602418E+07;310.7853;75.34554
321.052;1144162;321.052;3.919462;321.152;800049.8;321.152;4.295176;320.9687;1787918;320.9687;65.33049;321.2354;1170345;331.252;1579.274;320.8687;7.369855E+08;320.8687;37.47322;321.3354;4.844309E+08;321.3354;51.61287;320.7853;7.133697E+07;320.7853;73.70406
331.052;1239582;331.052;4.219922;331.152;919230.1;331.152;5.679813;330.9687;425526;330.9687;4.212596;331.252;985092.6;341.252;1748.123;330.8687;7.230525E+08;330.8687;37.62273;331.3354;4.795521E+08;331.3354;51.39614;330.7853;6.832308E+07;330.7853;69.32514
341.052;1121294;341.052;3.764027;341.152;722359.9;341.152;3.774362;340.9687;369408.4;340.9687;1.426012;341.252;926789.5;351.252;1676.232;340.8687;7.260027E+08;340.8687;37.27193;341.3354;4.678555E+08;341.3354;51.7053;340.7853;7.805645E+07;340.7853;78.03359
351.052;1172565;351.052;3.952184;351.152;716632.4;351.152;3.767862;350.9687;367983.5;350.9687;1.6001;351.252;1005482;361.252;1512.099;350.8687;7.340595E+08;350.8687;37.92022;351.3354;4.892144E+08;351.3354;51.54723;350.7853;6.403749E+07;350.7853;71.30551
361.052;1074125;361.052;3.585363;361.152;662529.3;361.152;3.496077;360.9687;357721.9;360.9687;2.701762;361.252;954534.4;371.2354;1650.232;360.8687;7.368234E+08;360.8687;37.50626;361.3354;4.486049E+08;361.3354;51.83248;360.7853;7.604119E+07;360.7853;71.5848
371.052;1130200;371.052;3.796304;371.1353;692615.9;371.1353;3.554478;370.952;434191.5;370.952;3.60588;371.2354;1020016;381.2354;1822.013;370.8687;7.257434E+08;370.8687;37.65898;371.3187;4.77558E+08;371.3187;53.16076;370.7687;7.743223E+07;370.7687;76.1957
381.052;1208613;381.052;4.06951;381.1353;673498.1;381.1353;3.693922;380.952;436586.3;380.952;3.797744;381.2354;1220997;391.2354;1567.988;380.8687;7.299354E+08;380.8687;37.68373;381.3187;4.757468E+08;381.3187;51.88913;380.7687;8.911151E+07;380.7687;86.11965
391.052;1395161;391.052;4.793634;391.1353;675511.2;391.1353;3.581312;390.952;352046.7;390.952;2.712565;391.2354;1028864;401.2354;1698.927;390.8687;7.181642E+08;390.8687;37.73291;391.3187;4.551622E+08;391.3187;53.5158;390.7687;7.30883E+07;390.7687;75.32529
401.052;1269342;401.052;4.487021;401.152;695690.1;401.152;3.69498;400.952;375689.9;400.952;3.506081;401.2354;1144131;411.2354;1309.12;400.8687;7.295193E+08;400.8687;37.91497;401.3354;4.675388E+08;401.3354;52.60295;400.7687;6.123228E+07;400.7687;71.60012
