tau;amplitude;tau cumulant fit;amplitude cumulant fit;tau size distribution fit;amplitude size distribution fit
0.0001628;1.001854;0.0001628;1.001285;0.0001628;1.00141
0.0001692;1.001542;0.0001692;1.001285;0.0001692;1.001377
0.0001756;1.001443;0.0001756;1.001285;0.0001756;1.001348
0.000182;1.001678;0.000182;1.001285;0.000182;1.001323
0.0001884;1.001211;0.0001884;1.001285;0.0001884;1.001301
0.0001948;1.000937;0.0001948;1.001285;0.0001948;1.001282
0.000198;1.00119;0.000198;1.001285;0.000198;1.001274
0.0002108;1.001569;0.0002108;1.001285;0.0002108;1.001245
0.0002236;1.001624;0.0002236;1.001285;0.0002236;1.001224
0.0002364;1.001154;0.0002364;1.001285;0.0002364;1.001207
0.0002492;1.00122;0.0002492;1.001285;0.0002492;1.001195
0.000262;1.001671;0.000262;1.001285;0.000262;1.001185
0.0002748;1.001552;0.0002748;1.001285;0.0002748;1.001178
0.0002876;1.001306;0.0002876;1.001285;0.0002876;1.001173
0.0003004;1.001385;0.0003004;1.001285;0.0003004;1.001168
0.0003132;1.001186;0.0003132;1.001285;0.0003132;1.001165
0.000326;1.000999;0.000326;1.001285;0.000326;1.001163
0.0003388;1.001007;0.0003388;1.001285;0.0003388;1.001161
0.0003516;1.00118;0.0003516;1.001285;0.0003516;1.001159
0.0003644;1.00117;0.0003644;1.001285;0.0003644;1.001158
0.0003772;1.00104;0.0003772;1.001285;0.0003772;1.001157
0.00039;1.001058;0.00039;1.001285;0.00039;1.001157
0.0003964;1.000896;0.0003964;1.001285;0.0003964;1.001156
0.000422;1.000975;0.000422;1.001285;0.000422;1.001155
0.0004476;1.000966;0.0004476;1.001285;0.0004476;1.001155
0.0004732;1.000737;0.0004732;1.001285;0.0004732;1.001155
0.0004988;1.00085;0.0004988;1.001285;0.0004988;1.001155
0.0005244;1.000897;0.0005244;1.001285;0.0005244;1.001154
0.00055;1.000429;0.00055;1.001285;0.00055;1.001154
0.0005756;1.000375;0.0005756;1.001285;0.0005756;1.001154
0.0006012;1.000969;0.0006012;1.001285;0.0006012;1.001154
0.0006268;1.001178;0.0006268;1.001285;0.0006268;1.001154
0.0006524;1.000917;0.0006524;1.001285;0.0006524;1.001154
0.000678;1.000567;0.000678;1.001285;0.000678;1.001154
0.0007036;1.000359;0.0007036;1.001285;0.0007036;1.001154
0.0007292;1.000536;0.0007292;1.001285;0.0007292;1.001154
0.0007548;1.000626;0.0007548;1.001285;0.0007548;1.001154
0.0007804;1.000609;0.0007804;1.001285;0.0007804;1.001154
0.0007932;1.000654;0.0007932;1.001285;0.0007932;1.001154
0.0008444;1.000818;0.0008444;1.001285;0.0008444;1.001154
0.0008956;1.000696;0.0008956;1.001285;0.0008956;1.001154
0.0009468;1.000442;0.0009468;1.001285;0.0009468;1.001154
0.000998;1.00079;0.000998;1.001285;0.000998;1.001154
0.0010492;1.001083;0.0010492;1.001285;0.0010492;1.001154
0.0011004;1.00106;0.0011004;1.001285;0.0011004;1.001154
0.0011516;1.000961;0.0011516;1.001285;0.0011516;1.001154
0.0012028;1.000892;0.0012028;1.001285;0.0012028;1.001154
0.001254;1.000842;0.001254;1.001285;0.001254;1.001154
0.0013052;1.000822;0.0013052;1.001285;0.0013052;1.001154
0.0013564;1.000833;0.0013564;1.001285;0.0013564;1.001154
0.0014076;1.000791;0.0014076;1.001285;0.0014076;1.001154
0.0014588;1.000944;0.0014588;1.001285;0.0014588;1.001154
0.00151;1.000927;0.00151;1.001285;0.00151;1.001154
0.0015612;1.000522;0.0015612;1.001285;0.0015612;1.001154
0.0015868;1.000751;0.0015868;1.001285;0.0015868;1.001154
0.0016892;1.000832;0.0016892;1.001285;0.0016892;1.001154
0.0017916;1.00109;0.0017916;1.001285;0.0017916;1.001154
0.001894;1.001122;0.001894;1.001285;0.001894;1.001154
0.0019964;1.001061;0.0019964;1.001285;0.0019964;1.001154
0.0020988;1.001011;0.0020988;1.001285;0.0020988;1.001154
0.0022012;1.001015;0.0022012;1.001285;0.0022012;1.001154
0.0023036;1.001204;0.0023036;1.001285;0.0023036;1.001154
0.002406;1.000975;0.002406;1.001285;0.002406;1.001154
0.0025084;1.000776;0.0025084;1.001285;0.0025084;1.001154
0.0026108;1.000961;0.0026108;1.001285;0.0026108;1.001154
0.0027132;1.000905;0.0027132;1.001285;0.0027132;1.001154
0.0028156;1.001019;0.0028156;1.001285;0.0028156;1.001154
0.002918;1.00115;0.002918;1.001285;0.002918;1.001154
0.0030204;1.001065;0.0030204;1.001285;0.0030204;1.001154
0.0031228;1.001;0.0031228;1.001285;0.0031228;1.001154
0.003174;1.000977;0.003174;1.001285;0.003174;1.001154
0.0033788;1.001053;0.0033788;1.001285;0.0033788;1.001154
0.0035836;1.00112;0.0035836;1.001285;0.0035836;1.001154
0.0037884;1.00112;0.0037884;1.001285;0.0037884;1.001154
0.0039932;1.001113;0.0039932;1.001285;0.0039932;1.001154
0.004198;1.00109;0.004198;1.001285;0.004198;1.001154
0.0044028;1.000872;0.0044028;1.001285;0.0044028;1.001154
0.0046076;1.000888;0.0046076;1.001285;0.0046076;1.001154
0.0048124;1.00105;0.0048124;1.001285;0.0048124;1.001154
0.0050172;1.001054;0.0050172;1.001285;0.0050172;1.001154
0.005222;1.001096;0.005222;1.001285;0.005222;1.001154
0.0054268;1.001138;0.0054268;1.001285;0.0054268;1.001154
0.0056316;1.001164;0.0056316;1.001285;0.0056316;1.001154
0.0058364;1.000925;0.0058364;1.001285;0.0058364;1.001154
0.0060412;1.000709;0.0060412;1.001285;0.0060412;1.001154
0.006246;1.000672;0.006246;1.001285;0.006246;1.001154
0.0063484;1.000655;0.0063484;1.001285;0.0063484;1.001154
0.006758;1.000788;0.006758;1.001285;0.006758;1.001154
0.0071676;1.000938;0.0071676;1.001285;0.0071676;1.001154
0.0075772;1.001001;0.0075772;1.001285;0.0075772;1.001154
0.0079868;1.001013;0.0079868;1.001285;0.0079868;1.001154
0.0083964;1.000918;0.0083964;1.001285;0.0083964;1.001154
0.008806;1.00085;0.008806;1.001285;0.008806;1.001154
0.0092156;1.00097;0.0092156;1.001285;0.0092156;1.001154
0.0096252;1.000982;0.0096252;1.001285;0.0096252;1.001154
0.0100348;1.00102;0.0100348;1.001285;0.0100348;1.001154
0.0104444;1.001062;0.0104444;1.001285;0.0104444;1.001154
0.010854;1.001019;0.010854;1.001285;0.010854;1.001154
0.0112636;1.001225;0.0112636;1.001285;0.0112636;1.001154
0.0116732;1.001338;0.0116732;1.001285;0.0116732;1.001154
0.0120828;1.001235;0.0120828;1.001285;0.0120828;1.001154
0.0124924;1.001094;0.0124924;1.001285;0.0124924;1.001154
0.0126972;1.000954;0.0126972;1.001285;0.0126972;1.001154
